// METGen - The Synthesized METAR Generator
// Copyright (C) 2025 FiendishDrWu
//
// This program is free software: you can redistribute it and/or modify
// it under the terms of the GNU Affero General Public License as published
// by the Free Software Foundation, either version 3 of the License, or
// (at your option) any later version.
//
// This program is distributed in the hope that it will be useful,
// but WITHOUT ANY WARRANTY; without even the implied warranty of
// MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
// GNU Affero General Public License for more details.
//
// You should have received a copy of the GNU Affero General Public License
// along with this program.  If not, see <https://www.gnu.org/licenses/>.
//
ICAO,Latitude,Longitude
41XS,30.534522,-97.419814
42AK,70.110889,-152.129750
42IA,42.261450,-96.289678
42ID,44.071244,-115.791183
42IN,41.349314,-85.267656
42KS,37.010692,-98.454528
42TS,30.221844,-98.592272
42TT,30.455592,-95.230794
42VA,36.678906,-76.032778
42XA,31.362278,-97.090300
42XS,27.958819,-98.403764
43CN,36.102681,-119.594789
43FL,28.542172,-81.779178
43MI,45.860717,-87.117767
43MO,38.783342,-94.370089
43NV,38.729372,-119.465828
43PA,40.159997,-75.545669
43SC,35.019556,-82.546450
43TS,28.474286,-98.583819
43XA,28.825625,-95.908217
44AR,34.461250,-92.576806
44CA,33.989803,-119.679694
44CL,39.047856,-121.950389
44KS,37.610967,-97.163733
44MO,38.487233,-91.711022
44NK,42.464067,-74.385428
44SC,33.479600,-80.777864
44TN,35.840908,-84.075719
44VA,37.731239,-79.811158
44XA,27.836944,-97.771806
45AR,36.367250,-92.640222
45KS,37.525247,-95.374108
45MO,38.847272,-90.639011
45MS,33.547164,-90.567094
46KS,37.833408,-97.363267
46MI,42.546111,-84.127778
46NE,40.895042,-101.502361
46VA,37.817467,-78.048547
47AR,34.502694,-92.229761
47GE,34.482167,-85.304375
47KS,38.771431,-95.274569
48AZ,34.650856,-111.788206
48FA,28.841969,-81.807511
48MY,45.118669,-95.577797
48NY,42.895647,-77.396961
48PS,40.027919,-78.094336
48TE,30.020992,-101.573064
49MS,32.804478,-88.937961
